time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-12T11:13:05.500Z,19.395834,-155.2765045,6.92,1.85,ml,29,46,0.002741,0.36,hv,hv70078246,2018-04-12T11:18:55.150Z,"5km SW of Volcano, Hawaii",earthquake,0.64,0.77,0.29,6,automatic,hv,hv
2018-04-12T10:53:12.410Z,33.8596667,-118.2881667,14.53,2.5,ml,92,50,0.03716,0.24,ci,ci38147936,2018-04-12T18:39:54.320Z,"3km N of Carson, CA",earthquake,0.18,0.35,0.261,26,reviewed,ci,ci
2018-04-12T10:51:41.900Z,19.3991661,-155.2836609,7.17,2.04,ml,36,41,0.01018,0.36,hv,hv70078226,2018-04-12T10:57:20.490Z,"5km SW of Volcano, Hawaii",earthquake,0.63,0.55,0.25,6,automatic,hv,hv
2018-04-12T10:48:22.664Z,64.0265,-148.7041,15.5,1.2,ml,,,,0.4,ak,ak19232539,2018-04-12T10:54:45.362Z,"22km NE of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-12T10:43:17.362Z,52.8282,-168.0924,38.1,2.1,ml,,,,0.46,ak,ak19232538,2018-04-12T16:40:33.548Z,"53km ESE of Nikolski, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2018-04-12T10:41:51.450Z,40.4065,77.3271,10,4.9,mb,,62,1.369,1.35,us,us2000dyta,2018-04-12T10:55:58.040Z,"131km NE of Arzak, China",earthquake,3.2,1.9,0.08,49,reviewed,us,us
2018-04-12T10:35:51.030Z,19.3998337,-155.2603302,5.42,1.78,ml,27,39,0.00561,0.39,hv,hv70078201,2018-04-12T10:41:36.460Z,"4km SW of Volcano, Hawaii",earthquake,0.63,0.77,0.56,3,automatic,hv,hv
2018-04-12T10:33:47.425Z,38.4765,-117.8299,2.4,1.6,ml,14,75.34,0.259,0.1736,nn,nn00630143,2018-04-12T16:47:08.858Z,"44km S of Gabbs, Nevada",earthquake,,2,0.1,7,reviewed,nn,nn
2018-04-12T10:22:44.510Z,19.4165001,-155.2678375,6.38,1.71,ml,39,39,0.008702,0.35,hv,hv70078186,2018-04-12T10:28:28.090Z,"3km WSW of Volcano, Hawaii",earthquake,0.45,0.49,0.26,11,automatic,hv,hv
2018-04-12T10:21:28.900Z,38.8233337,-122.8426666,1.18,0.57,md,7,178,0.01187,0.11,nc,nc72998686,2018-04-12T12:50:02.119Z,"9km NW of The Geysers, CA",earthquake,1.87,1.35,,1,automatic,nc,nc
2018-04-12T10:17:16.080Z,46.8703333,-112.5371667,10.64,1.37,md,11,103,0.187,0.17,mb,mb80289404,2018-04-12T14:33:05.190Z,"14km SE of Lincoln, Montana",earthquake,0.67,1.04,0.153,14,reviewed,mb,mb
2018-04-12T10:11:22.340Z,19.4023342,-155.2720032,7.85,1.94,md,34,31,0.007101,0.22,hv,hv70078171,2018-04-12T10:14:40.200Z,"4km SW of Volcano, Hawaii",earthquake,0.45,0.44,0.34,22,automatic,hv,hv
2018-04-12T10:09:29.714Z,62.9008,-147.8795,59,0.6,ml,,,,0.28,ak,ak19232532,2018-04-12T16:32:48.265Z,"76km SE of Cantwell, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2018-04-12T10:08:54.440Z,38.8264999,-122.8069992,1.57,1.82,md,30,51,0.003922,0.04,nc,nc72998681,2018-04-12T12:24:01.977Z,"7km NW of The Geysers, CA",earthquake,0.17,0.35,0.13,9,automatic,nc,nc
2018-04-12T09:57:56.310Z,19.3861675,-155.269165,3.45,1.94,ml,41,45,0.01008,0.36,hv,hv70078161,2018-04-12T10:03:39.930Z,"5km SSW of Volcano, Hawaii",earthquake,0.44,0.7,0.3,15,automatic,hv,hv
2018-04-12T09:55:32.490Z,38.8019981,-122.815834,2.47,0.34,md,10,113,0.01248,0.02,nc,nc72998676,2018-04-12T11:57:04.818Z,"6km WNW of The Geysers, CA",earthquake,0.41,0.92,,1,automatic,nc,nc
2018-04-12T09:45:54.810Z,38.7753334,-122.7440033,5.17,0.47,md,4,160,0.009729,0.07,nc,nc72998671,2018-04-12T11:31:02.675Z,"1km ESE of The Geysers, CA",earthquake,2.75,7.09,,1,automatic,nc,nc
2018-04-12T09:45:01.390Z,19.3964996,-155.2825012,7.29,2.04,md,15,120,0.008437,0.16,hv,hv70078141,2018-04-12T09:48:01.000Z,"6km SW of Volcano, Hawaii",earthquake,1.04,0.53,0.29,9,automatic,hv,hv
2018-04-12T09:40:05.780Z,19.4050007,-155.2916718,4.95,1.88,md,34,43,0.008029,0.18,hv,hv70078136,2018-04-12T09:43:28.800Z,"6km WSW of Volcano, Hawaii",earthquake,0.35,0.48,0.19,18,automatic,hv,hv
2018-04-12T09:38:42.390Z,22.3838,143.0219,191.98,4.7,mb,,82,4.752,0.67,us,us2000dysc,2018-04-12T10:17:48.040Z,"282km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10.2,7.5,0.034,257,reviewed,us,us
2018-04-12T09:34:10.190Z,19.3899994,-155.2868347,7.95,1.99,ml,31,66,0.005938,0.26,hv,hv70078131,2018-04-12T09:39:56.830Z,"6km SW of Volcano, Hawaii",earthquake,0.52,0.47,0.27,15,automatic,hv,hv
2018-04-12T09:31:42.600Z,-18.1348,-175.1655,233.14,4.7,mb,,63,5.055,1.26,us,us2000dys6,2018-04-12T10:05:25.040Z,"137km WNW of Neiafu, Tonga",earthquake,10.1,8.4,0.066,70,reviewed,us,us
2018-04-12T09:28:11.310Z,33.694,-116.7995,15.64,0.49,ml,11,138,0.07317,0.04,ci,ci38147928,2018-04-12T18:25:59.736Z,"9km SW of Idyllwild, CA",earthquake,0.27,0.34,0.103,4,reviewed,ci,ci
2018-04-12T09:20:58.760Z,19.4044991,-155.2768402,4.01,1.93,ml,45,33,0.008427,0.25,hv,hv70078116,2018-04-12T09:26:45.110Z,"5km SW of Volcano, Hawaii",earthquake,0.3,0.37,0.2,14,automatic,hv,hv
2018-04-12T09:17:40.510Z,19.3983326,-155.2998352,4.87,1.83,ml,34,47,0.008249,0.36,hv,hv70078111,2018-04-12T09:23:24.030Z,"7km WSW of Volcano, Hawaii",earthquake,0.52,0.73,0.25,8,automatic,hv,hv
2018-04-12T09:12:54.360Z,19.4031658,-155.2785034,8.5,1.89,md,31,36,0.009012,0.2,hv,hv70078106,2018-04-12T09:16:11.480Z,"5km SW of Volcano, Hawaii",earthquake,0.49,0.52,0.22,17,automatic,hv,hv
2018-04-12T09:08:28.238Z,61.6313,-146.7912,32.4,1.3,ml,,,,0.26,ak,ak19232502,2018-04-12T09:12:53.516Z,"60km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-12T09:06:49.224Z,39.5493,-120.5761,2.7,0.5,ml,4,198.03,0.23,0.1022,nn,nn00630164,2018-04-12T18:04:14.876Z,"21km E of Downieville, California",earthquake,,45.9,0.78,3,reviewed,nn,nn
2018-04-12T09:06:23.690Z,33.9281667,-118.7153333,2.13,1.79,ml,28,153,0.1429,0.29,ci,ci38147920,2018-04-12T13:05:31.207Z,"12km SSW of Malibu Beach, CA",earthquake,0.67,0.97,0.226,31,reviewed,ci,ci
2018-04-12T09:05:27.940Z,19.3959999,-155.2843323,4.57,1.75,ml,31,42,0.009737,0.38,hv,hv70078096,2018-04-12T09:11:13.880Z,"6km SW of Volcano, Hawaii",earthquake,0.61,0.82,0.26,5,automatic,hv,hv
2018-04-12T09:03:47.060Z,46.9121667,-112.5421667,10.73,1.13,md,10,116,0.183,0.07,mb,mb80289399,2018-04-12T14:38:39.070Z,"11km ESE of Lincoln, Montana",earthquake,0.42,1.04,0.235,13,reviewed,mb,mb
2018-04-12T09:01:00.572Z,64.7862,-148.8129,17.1,0.8,ml,,,,0.5,ak,ak19232498,2018-04-12T09:08:09.943Z,"27km NNE of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-12T08:57:19.000Z,38.8008347,-122.8174973,2.45,0.93,md,18,116,0.01215,0.04,nc,nc72998666,2018-04-12T11:04:02.534Z,"6km WNW of The Geysers, CA",earthquake,0.32,0.56,0.06,4,automatic,nc,nc
